owner,package,downloads,is_top_100,overall_percentage,top_100_percentage
r-lib,callr,323017,TRUE,0.0040423098189571,0.007320417291683333
r-lib,here,10761,FALSE,1.346656552497155e-4,0
r-lib,revdepcheck,0,FALSE,0,0
r-lib,processx,344574,TRUE,0.00431207912759181,0.0078089557759018656
r-lib,vctrs,573765,TRUE,0.007180228573957162,0.01300302840829643
r-lib,debugme,7322,FALSE,9.162920990041974e-5,0
r-lib,usethis,193407,FALSE,0.002420340152855843,0
r-lib,rlang,890586,TRUE,0.011145000208737398,0.02018302799583642
r-lib,pkgload,148327,FALSE,0.001856198554616165,0
r-lib,httrmock,0,FALSE,0,0
r-lib,pkgbuild,171155,FALSE,0.0021418734526777302,0
r-lib,prettycode,3091,FALSE,3.868149246137632e-5,0
r-lib,roxygen2md,241,FALSE,3.0159300172085714e-6,0
r-lib,pkgapi,0,FALSE,0,0
r-lib,zeallot,570106,TRUE,0.007134438997471825,0.012920105816388668
r-lib,liteq,463,FALSE,5.7940896181226906e-6,0
r-lib,keyring,1603,FALSE,2.0060314595789792e-5,0
r-lib,sloop,382,FALSE,4.780436790762134e-6,0
r-lib,styler,7378,FALSE,9.233000691686655e-5,0
r-lib,ansistrings,0,FALSE,0,0
r-lib,later,279126,TRUE,0.00349304764308448,0.006325731453633716
r-lib,crancache,0,FALSE,0,0
r-lib,zip,155455,FALSE,0.0019454000034238939,0
r-lib,osname,0,FALSE,0,0
r-lib,sessioninfo,141261,FALSE,0.001767772988219502,0
r-lib,cli,483573,TRUE,0.006051544922039836,0.010959039774969072
r-lib,filelock,2374,FALSE,2.970878780436991e-5,0
r-lib,pillar,630931,TRUE,0.007895617185424983,0.014298560763857807
r-lib,tidyselect,390178,TRUE,0.00488277818362824,0.008842462712595372
r-lib,conf,1113,FALSE,1.3928340701880248e-5,0
r-lib,rematch2,19207,FALSE,2.4036086240881755e-4,0
r-lib,objectable,0,FALSE,0,0
r-lib,xmlparsedata,1358,FALSE,1.699432764883502e-5,0
r-lib,async,0,FALSE,0,0
r-lib,oldie,0,FALSE,0,0
